id,code,name,parent_id/id,level,is_debt_account,is_general_account,account_type,allowed_compare,chart_template_id/id
chart111,111,Tiền mặt,,1,0,1,asset_cash,,l10n_vn.vn_template
chart1111,1111,Tiền Việt Nam,chart111,2,0,0,asset_cash,,l10n_vn.vn_template
chart1112,1112,Ngoại tệ,chart111,2,0,0,asset_cash,,l10n_vn.vn_template
chart1113,1113,Vàng tiền tệ,chart111,2,0,0,asset_cash,,l10n_vn.vn_template
chart112,112,Tiền gửi ngân hàng,,1,0,1,asset_cash,,l10n_vn.vn_template
chart1121,1121,Tiền Việt Nam,chart112,2,0,1,asset_cash,,l10n_vn.vn_template
chart11211,11211,Tiền Việt Nam - Ngân hàng...,chart1121,3,0,0,asset_cash,,l10n_vn.vn_template
chart1122,1122,Ngoại tệ,chart112,2,0,1,asset_cash,,l10n_vn.vn_template
chart11221,11221,Ngoại tệ,chart1122,3,0,1,asset_cash,,l10n_vn.vn_template
chart112211,112211,Ngoại tệ Ngân hàng...,chart11221,4,0,0,asset_cash,,l10n_vn.vn_template
chart1123,1123,Vàng tiền tệ,chart112,2,0,0,asset_cash,,l10n_vn.vn_template
chart113,113,Tiền đang chuyển,,1,0,1,asset_current,,l10n_vn.vn_template
chart1131,1131,Tiền Việt Nam,chart113,2,0,0,asset_current,,l10n_vn.vn_template
chart1132,1132,Ngoại tệ,chart113,2,0,0,asset_current,,l10n_vn.vn_template
chart121,121,Chứng khoán kinh doanh,,1,0,1,asset_current,,l10n_vn.vn_template
chart1211,1211,Chứng khoán kinh doanh: cổ phiếu,chart121,2,0,0,asset_current,,l10n_vn.vn_template
chart1212,1212,Chứng khoán kinh doanh: trái phiếu,chart121,2,0,0,asset_current,,l10n_vn.vn_template
chart1218,1218,Chứng khoán và công cụ tài chính khác,chart121,2,0,0,asset_current,,l10n_vn.vn_template
chart128,128,Đầu tư nắm giữ đến ngày đáo hạn,,1,0,1,asset_current,,l10n_vn.vn_template
chart1281,1281,Tiền gởi có kỳ hạn,chart128,2,0,1,asset_current,,l10n_vn.vn_template
chart12811,12811,Tiền gởi có kỳ hạn: <= 3 tháng,chart1281,3,0,0,asset_current,,l10n_vn.vn_template
chart12812,12812,Tiền gởi có kỳ hạn: > 3 tháng và <= 12 tháng,chart1281,3,0,0,asset_current,,l10n_vn.vn_template
chart12813,12813,Tiền gởi có kỳ hạn: > 12 tháng,chart1281,3,0,0,asset_current,,l10n_vn.vn_template
chart1282,1282,Trái phiếu,chart128,2,0,1,asset_current,,l10n_vn.vn_template
chart12821,12821,Trái phiếu: ngắn hạn,chart1282,3,0,0,asset_current,,l10n_vn.vn_template
chart12822,12822,Trái phiếu: dài hạn,chart1282,3,0,0,asset_current,,l10n_vn.vn_template
chart1283,1283,Cho vay,chart128,2,0,1,asset_current,,l10n_vn.vn_template
chart12831,12831,Cho vay: ngắn hạn,chart1283,3,0,0,asset_current,,l10n_vn.vn_template
chart12832,12832,Cho vay: dài hạn,chart1283,3,0,0,asset_current,,l10n_vn.vn_template
chart1288,1288,Các khoản đầu tư khác nắm giữ đến ngày đáo hạn,chart128,2,0,1,asset_current,,l10n_vn.vn_template
chart12881,12881,Các khoản đầu tư khác nắm giữ đến ngày đáo hạn: <= 3 tháng,chart1288,3,0,0,asset_current,,l10n_vn.vn_template
chart12882,12882,Các khoản đầu tư khác nắm giữ đến ngày đáo hạn: > 3 tháng và <= 12 tháng,chart1288,3,0,0,asset_current,,l10n_vn.vn_template
chart12883,12883,Các khoản đầu tư khác nắm giữ đến ngày đáo hạn: > 12 tháng,chart1288,3,0,0,asset_current,,l10n_vn.vn_template
chart131,131,Phải thu khách hàng,,1,1,1,asset_receivable,1,l10n_vn.vn_template
chart1311,1311,Phải thu ngắn hạn khách hàng,chart131,2,1,1,asset_receivable,1,l10n_vn.vn_template
